YEAR,MO,DY,T2M,T2MWET,WS10M_RANGE,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,WS2M,ALLSKY_KT
2000,5,4,6.83,2.9,1.8,4.72,6.41,1.45,0.57
2000,5,5,7.31,4.05,3.05,5.42,6.56,2.36,0.66
2000,5,6,7.76,4.96,2.1,4.85,6.4,2.41,0.59
2000,5,7,7.09,4.81,1.8,3.89,6.45,1.04,0.48
2000,5,8,8.08,4.56,4.73,4.62,6.63,2.47,0.56
2000,5,9,8.02,4.6,5.09,5.82,6.55,2.08,0.72
2000,5,10,7.51,3.88,2.35,6.45,6.67,2.47,0.8
2000,5,11,8.38,5.0,2.06,6.12,6.49,1.3,0.76
2000,5,12,6.23,4.11,2.87,5.25,6.29,1.66,0.66
2000,5,13,7.38,4.12,5.13,5.04,6.26,2.8,0.63
2000,5,14,6.33,4.3,4.76,2.82,6.48,2.93,0.35
2000,5,15,7.11,3.24,3.27,4.89,6.48,3.4,0.62
2000,5,16,6.23,0.4,2.52,5.87,6.55,1.84,0.74
2000,5,17,7.2,1.48,2.45,4.12,6.4,1.26,0.52
2000,5,18,6.42,-0.63,1.1,4.92,6.25,2.27,0.63
2000,5,19,6.18,0.4,1.8,4.77,6.21,2.56,0.61
2000,5,20,5.5,-2.23,3.02,6.45,6.5,2.16,0.83
2000,5,21,6.73,1.73,2.38,6.11,6.39,1.28,0.79
2000,5,22,6.31,0.67,3.16,6.12,6.21,1.98,0.8
2000,5,23,6.84,3.66,3.58,6.04,6.19,1.88,0.79
2000,5,24,7.65,3.13,2.88,6.23,6.27,1.31,0.81
2000,5,25,7.02,-0.27,3.66,6.3,6.31,1.65,0.83
2000,5,26,6.8,0.4,3.51,6.13,6.2,2.03,0.8
2000,5,27,7.37,4.2,4.29,6.12,6.16,2.08,0.8
2000,5,28,6.72,2.58,3.67,6.21,6.21,1.95,0.82
2000,5,29,7.48,0.93,4.71,6.12,6.13,1.66,0.81
2000,5,30,6.82,2.16,4.8,6.06,6.08,2.19,0.8
2000,5,31,7.44,3.82,2.57,5.49,5.95,1.16,0.73
2000,6,1,6.98,3.71,6.7,5.38,5.5,2.82,0.72
2000,6,2,3.8,-1.04,8.03,5.98,5.98,5.06,0.8
2000,6,3,3.82,-4.05,4.08,6.21,6.21,1.96,0.84
2000,6,4,6.31,0.58,2.41,6.11,6.1,1.32,0.82
2000,6,5,5.59,2.2,3.53,5.82,6.01,1.76,0.78
2000,6,6,5.3,2.53,3.85,4.61,5.27,1.91,0.62
2000,6,7,6.07,2.94,1.59,4.57,5.1,1.7,0.62
2000,6,8,5.94,2.78,3.14,3.43,4.73,2.17,0.47
2000,6,9,5.3,2.86,3.8,3.93,5.41,1.7,0.53
2000,6,10,4.86,2.51,3.8,4.6,4.23,1.9,0.62
2000,6,11,5.24,1.43,3.16,4.94,4.5,2.45,0.67
2000,6,12,4.29,-0.49,4.05,5.86,5.76,3.26,0.8
2000,6,13,3.26,-4.02,1.07,5.88,5.86,2.86,0.8
2000,6,14,3.44,-3.93,2.51,5.21,5.56,3.02,0.71
2000,6,15,3.73,-3.11,3.28,5.9,5.91,2.98,0.8
2000,6,16,4.38,-0.67,3.2,5.33,5.28,1.74,0.73
2000,6,17,4.62,0.92,3.62,4.54,4.73,2.02,0.62
2000,6,18,3.96,0.02,5.13,4.43,4.76,3.71,0.61
2000,6,19,2.51,-3.99,3.44,4.74,4.84,3.63,0.65
2000,6,20,3.62,-4.77,4.27,5.72,5.74,1.84,0.78
2000,6,21,4.64,-1.8,3.81,5.72,5.72,1.76,0.78
2000,6,22,5.56,0.76,2.41,5.62,5.62,1.66,0.77
2000,6,23,4.59,-1.25,2.63,5.67,5.52,3.16,0.78
2000,6,24,5.19,-1.45,5.35,5.7,5.69,2.3,0.78
2000,6,25,5.59,0.39,2.17,5.72,5.59,1.92,0.78
2000,6,26,5.72,0.55,3.21,5.8,5.79,1.92,0.8
2000,6,27,5.49,0.62,2.55,4.79,5.14,2.09,0.66
2000,6,28,4.62,-1.31,2.53,5.16,5.39,3.02,0.7
2000,6,29,4.87,-3.27,3.55,5.56,5.64,2.48,0.76
2000,6,30,5.87,-1.17,3.66,5.69,5.72,1.63,0.78
2000,7,1,5.05,-2.2,3.23,5.83,5.86,1.93,0.8
2000,7,2,3.87,-4.1,3.59,5.76,5.72,1.77,0.78
2000,7,3,5.03,0.83,4.84,5.34,5.64,1.54,0.73
2000,7,4,4.21,0.76,4.15,4.93,5.01,2.09,0.67
2000,7,5,4.9,0.71,2.72,5.01,5.56,1.21,0.68
2000,7,6,4.78,0.05,2.74,5.33,5.49,1.79,0.72
2000,7,7,4.44,-0.58,3.15,5.4,5.72,3.24,0.73
2000,7,8,5.02,-0.19,3.5,5.24,5.33,3.27,0.71
2000,7,9,4.31,-0.46,6.12,4.32,4.76,4.45,0.59
2000,7,10,2.15,-4.85,5.45,5.84,5.98,5.17,0.78
2000,7,11,2.8,-6.13,4.16,5.89,5.95,1.9,0.79
2000,7,12,3.79,-4.6,2.86,5.67,5.83,1.52,0.76
2000,7,13,3.9,-5.02,2.57,4.92,4.32,1.62,0.66
2000,7,14,3.72,-3.0,2.82,5.43,5.53,2.32,0.72
2000,7,15,3.35,-4.0,3.2,6.03,6.03,2.74,0.8
2000,7,16,3.73,-4.37,1.94,5.97,5.97,1.84,0.79
2000,7,17,3.93,-3.3,2.12,5.97,5.96,2.91,0.79
2000,7,18,4.01,-0.88,3.42,4.7,5.44,2.63,0.62
2000,7,19,3.02,0.03,4.85,5.74,5.84,2.46,0.75
2000,7,20,4.18,0.38,4.81,5.07,5.47,3.24,0.66
2000,7,21,3.05,-0.72,4.73,5.15,5.88,4.88,0.67
2000,7,22,2.07,-4.21,6.52,4.65,6.04,5.14,0.6
2000,7,23,3.02,-4.49,6.05,5.92,5.91,3.02,0.77
2000,7,24,3.37,-5.49,4.09,4.92,5.46,1.64,0.63
2000,7,25,2.4,-4.77,3.59,5.9,5.99,2.97,0.76
2000,7,26,4.37,0.15,2.47,4.71,5.38,1.3,0.6
2000,7,27,5.61,0.73,2.99,4.54,5.55,1.68,0.58
2000,7,28,4.97,0.18,2.78,5.34,5.56,1.85,0.68
2000,7,29,5.06,-2.96,2.5,6.11,6.12,1.08,0.77
2000,7,30,4.36,-2.81,2.4,6.18,6.17,2.02,0.78
2000,7,31,3.15,-5.03,4.52,6.13,6.18,3.17,0.77
2000,8,1,3.14,-4.77,3.59,6.36,6.38,3.2,0.8
2000,8,2,4.82,-2.64,2.52,6.3,6.27,1.59,0.78
2000,8,3,5.62,3.26,4.51,6.22,6.22,2.65,0.77
2000,8,4,5.74,2.57,3.01,5.77,5.95,1.37,0.71
2000,8,5,6.94,0.53,3.95,5.88,6.18,1.8,0.72
2000,8,6,5.7,1.7,3.86,4.41,4.88,1.46,0.54
2000,8,7,7.32,0.66,1.93,5.12,5.39,1.4,0.62
2000,8,8,6.23,-0.33,2.48,5.15,5.46,1.18,0.62
2000,8,9,5.15,0.17,3.73,5.36,5.54,2.34,0.65
2000,8,10,5.44,3.41,4.07,4.81,5.81,2.99,0.58
2000,8,11,4.62,2.7,4.23,4.64,4.84,2.11,0.55
2000,8,12,6.21,2.95,4.16,4.42,4.77,1.83,0.52
2000,8,13,5.43,2.49,3.56,4.98,5.36,1.87,0.59
2000,8,14,6.27,2.07,2.52,4.67,5.32,2.18,0.55
2000,8,15,6.81,3.29,4.22,5.33,5.1,1.65,0.62
2000,8,16,6.27,1.45,1.31,5.11,5.75,1.9,0.6
2000,8,17,5.69,-0.05,4.41,6.22,6.22,2.48,0.73
2000,8,18,5.54,2.95,3.48,5.84,5.91,2.78,0.68
2000,8,19,5.19,2.36,5.12,3.99,5.31,2.46,0.46
2000,8,20,4.37,2.35,3.88,5.03,5.9,1.88,0.58
2000,8,21,4.17,2.0,4.28,4.79,4.61,1.8,0.55
2000,8,22,6.85,2.4,5.36,5.3,5.1,2.03,0.6
2000,8,23,7.57,3.55,4.78,5.17,5.46,2.3,0.59
2000,8,24,7.8,3.58,3.71,5.8,5.84,1.68,0.66
